Regulon_Name,regulated_genes,regulated_operon,regulated_tu,total_of_regulatory_interaction,total_of_binding_sites
CdaR,10,4,4,4,0
IlvY,2,2,3,6,4
Nac,532,12,16,533,503
SlyA,48,9,9,25,25
HipAB,8,3,3,5,5
CsqR,5,3,3,3,3
YcjW,12,0,0,1,1
HicB,2,1,1,1,1
YdeO,22,7,10,11,8
UxuR,11,6,6,12,11
MntR,5,4,5,7,6
FrlR,5,1,1,1,1
BirA,5,2,2,2,2
GcvA,5,3,3,10,10
DeoR,6,3,4,8,8
NrdR,9,3,3,6,6
SrlR,7,1,1,1,1
GatR,6,1,1,1,1
DinJ-YafQ,3,2,2,2,2
CysB,33,17,17,20,18
NtrC,51,16,21,41,33
NanR,11,4,6,12,12
AlaS,1,1,1,1,1
MhpR,6,1,1,1,1
BluR,4,1,2,2,1
PdhR,53,9,10,22,21
MurR,3,2,5,10,4
RhaS,6,3,4,11,8
RutR,17,7,9,7,6
GlrR,6,2,3,9,6
MalT,11,5,5,20,20
ArsR,3,1,1,1,1
LsrR,9,2,2,2,2
PhoP,58,35,41,45,39
RstA,10,4,9,9,4
YefMB,2,1,1,2,2
BtsR,15,6,9,17,12
CpxR,130,42,50,163,135
YqhC,2,1,1,2,2
PepA,3,2,2,3,3
DpiA,11,5,8,14,11
NemR,3,1,2,1,1
MraZ,17,2,2,6,6
AdiY,8,4,7,7,4
GntR,12,6,9,17,13
MazEF,3,1,2,4,2
PdeL,9,2,2,4,4
AscG,5,4,4,9,9
EvgA,19,9,10,11,10
BaeR,9,3,3,5,5
MalI,3,2,2,2,2
AllR,9,3,3,3,3
YhaJ,8,1,1,7,7
AlsR,6,2,3,3,3
GadX,34,21,28,76,44
UlaR,7,2,2,4,4
CRP,568,245,318,443,382
LrhA,5,4,6,6,4
IclR,4,2,2,8,8
YebK,1,0,0,1,1
RclR,3,1,1,1,1
HigA,2,1,1,1,1
PutA,2,2,2,5,5
BasR,26,10,11,14,11
CRP-Sxy,1,1,1,1,1
DhaR,4,2,2,2,0
UidR,4,2,2,2,1
GlcC,7,2,2,2,2
SoxS,52,32,38,47,38
PhoB,62,32,41,45,33
XynR,5,0,0,2,1
CadC,3,2,2,2,1
AllS,3,1,1,1,1
PuuR,8,2,2,8,8
RelBE,3,1,1,4,4
RacR,6,0,0,4,4
HyfR,12,1,1,1,1
LacI,3,1,1,3,3
IHF,235,81,106,152,121
LeuO,24,7,10,22,18
NikR,6,1,1,1,1
LexA,62,36,42,51,48
MazE,3,1,2,4,2
OxyR,45,29,34,64,56
DicA,9,2,2,3,3
MetJ,15,10,12,34,30
Mlc,10,5,9,10,7
HipB,8,3,3,8,8
LysR,2,2,2,2,0
DsdC,3,3,3,3,1
EnvY,2,2,3,3,1
PunR,1,0,0,1,1
RpoN,6,0,0,6,6
YidZ,4,0,0,4,4
YciT,4,0,0,4,4
AaeR,3,1,1,1,1
YfeC,6,0,0,6,6
YgbI,2,0,0,1,1
YieP,5,0,0,5,5
YeiE,15,0,0,15,15
YafC,1,0,0,1,1
SrsR,38,5,5,21,17
YiaU,6,0,0,5,5
CitR,3,0,0,1,1
PtrR,1,0,0,1,1
FimZ,5,0,0,4,3
CyaR,9,8,9,10,7
GcvB,59,16,17,40,38
ChiX,6,2,2,3,3
RyhB,43,14,15,23,21
MicC,1,1,3,3,1
MgrR,4,3,4,5,4
FnrS,19,8,9,14,12
MicA,18,9,12,21,17
OmrA,12,4,6,10,8
OmrB,12,4,6,10,8
ArcZ,5,4,5,5,4
RybB,15,8,13,17,11
SgrS,10,5,6,10,9
Spf,27,0,0,27,19
,308,141,169,204,0
McaS,6,2,3,4,3
RprA,8,3,5,11,7
MicF,5,4,6,6,4
SymR,1,1,1,1,1
SdsR,3,2,2,3,3
OxyS,5,2,2,5,4
RydC,12,3,5,6,4
RalA,1,0,0,1,1
ArrS,3,2,3,3,2
MicL-S,1,0,0,1,1
RseX,4,2,5,7,4
CpxQ,3,1,2,4,1
SdsN,3,1,1,3,3
DicF,4,0,0,4,4
DsrA,9,4,4,4,4
SraG,1,0,0,1,1
SdhX,6,1,1,3,3
AgrB,1,1,1,1,1
SibC,1,1,1,1,0
MalH,1,0,0,1,1
C0293,2,1,1,2,2
GlmZ,2,1,2,2,1
GadY,2,1,1,1,1
IstR-1,1,1,1,1,1
OhsC,1,1,1,1,1
AzuR,2,0,0,2,2
FimR2,5,0,0,5,5
GlnZ,2,0,0,2,2
AsflhD,1,0,0,1,1
StfZ,1,0,0,1,1
AmeF,2,0,0,1,1
